  # ps -eo pid,comm,time,etime　で、プロセスのPID, コマンド名、経過時間、使用時間を一覧できる
  # ほとんどのプロセスにおいて、使用時間がほぼないことが確認できる（大体みんな対話型なので、入力待ち=sleep状態が多い）
                      使用時間     経過時間
  PID COMMAND             TIME     ELAPSED
    1 systemd         00:00:01       41:14
    2 kthreadd        00:00:00       41:14
    3 ksoftirqd/0     00:00:00       41:14
    5 kworker/0:0H    00:00:00       41:14
    7 rcu_sched       00:00:00       41:14
    8 rcu_bh          00:00:00       41:14
    9 migration/0     00:00:00       41:14
   10 watchdog/0      00:00:00       41:14
   11 kdevtmpfs       00:00:00       41:14
   12 netns           00:00:00       41:14
   13 perf            00:00:00       41:14
   14 khungtaskd      00:00:00       41:14
   15 writeback       00:00:00       41:14
   16 ksmd            00:00:00       41:14
   17 khugepaged      00:00:00       41:14
   18 crypto          00:00:00       41:14
   19 kintegrityd     00:00:00       41:14
   20 bioset          00:00:00       41:14
   21 kblockd         00:00:00       41:14
   22 ata_sff         00:00:00       41:14
   23 md              00:00:00       41:14
   24 devfreq_wq      00:00:00       41:14
   28 kswapd0         00:00:00       41:14
   29 vmstat          00:00:00       41:14
   30 fsnotify_mark   00:00:00       41:14
   31 ecryptfs-kthrea 00:00:00       41:14
   47 kthrotld        00:00:00       41:14
   48 acpi_thermal_pm 00:00:00       41:14
   49 bioset          00:00:00       41:14
   50 bioset          00:00:00       41:14
   51 bioset          00:00:00       41:14
   52 bioset          00:00:00       41:14
   53 bioset          00:00:00       41:14
   54 bioset          00:00:00       41:14
   55 bioset          00:00:00       41:14
   56 bioset          00:00:00       41:14
   57 scsi_eh_0       00:00:00       41:14
   58 scsi_tmf_0      00:00:00       41:14
   59 scsi_eh_1       00:00:00       41:14
   60 scsi_tmf_1      00:00:00       41:14
   66 ipv6_addrconf   00:00:00       41:14
   79 deferwq         00:00:00       41:13
   80 charger_manager 00:00:00       41:13
   81 bioset          00:00:00       41:13
  120 kworker/0:3     00:00:00       41:13
  122 kpsmoused       00:00:00       41:13
  123 scsi_eh_2       00:00:00       41:13
  124 scsi_tmf_2      00:00:00       41:13
  125 kworker/0:1H    00:00:00       41:13
  154 bioset          00:00:00       41:13
  226 raid5wq         00:00:00       41:11
  253 bioset          00:00:00       41:11
  285 jbd2/sda1-8     00:00:00       41:10
  286 ext4-rsv-conver 00:00:00       41:10
  354 systemd-journal 00:00:00       41:10
  358 iscsi_eh        00:00:00       41:10
  366 kauditd         00:00:00       41:10
  381 ib_addr         00:00:00       41:10
  384 lvmetad         00:00:00       41:10
  398 ib_mcast        00:00:00       41:10
  400 ib_nl_sa_wq     00:00:00       41:10
  402 ib_cm           00:00:00       41:10
  406 iw_cm_wq        00:00:00       41:10
  410 rdma_cm         00:00:00       41:10
  413 systemd-udevd   00:00:00       41:10
  470 systemd-timesyn 00:00:00       41:09
  585 iprt-VBoxWQueue 00:00:00       41:09
  731 dhclient        00:00:00       41:07
  769 accounts-daemon 00:00:00       41:07
  779 rsyslogd        00:00:00       41:07
  786 atd             00:00:00       41:07
  798 dbus-daemon     00:00:00       41:07
  810 systemd-logind  00:00:00       41:06
  812 acpid           00:00:00       41:06
  816 lxcfs           00:00:00       41:06
  820 cron            00:00:00       41:06
  823 snapd           00:00:00       41:06
  845 mdadm           00:00:00       41:06
  857 polkitd         00:00:00       41:06
  869 ttm_swap        00:00:00       41:06
  983 iscsid          00:00:00       41:05
  984 iscsid          00:00:00       41:05
 1001 sshd            00:00:00       41:05
 1068 agetty          00:00:00       41:05
 1166 sshd            00:00:00       41:02
 1168 systemd         00:00:00       40:56
 1170 (sd-pam)        00:00:00       40:56
 1229 sshd            00:00:01       40:55
 1230 bash            00:00:00       40:55
 1314 kworker/0:0     00:00:00       25:37
 1347 python3         00:20:14       20:33
 1369 kworker/u2:1    00:00:00       19:19
 1373 kworker/u2:2    00:00:00       10:47
 1427 ps              00:00:00       00:00
