Linux 4.4.0-142-generic (ubuntu) 	2019年07月01日 	_x86_64_	(1 CPU)

00時51分39秒  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
00時51分40秒      0.00      0.00      1.01      0.00     35.35      0.00      0.00      0.00      0.00
00時51分41秒      0.00      0.00      0.00      0.00     34.00      0.00      0.00      0.00      0.00
00時51分42秒      0.00      0.00      0.00      0.00     35.00      0.00      0.00      0.00      0.00
00時51分43秒      0.00     28.00      0.00      0.00     34.00      0.00      0.00      0.00      0.00
00時51分44秒      0.00      0.00      1.01      0.00     35.35      0.00      0.00      0.00      0.00
00時51分45秒     86.60 199538.14    816.49      3.09    322.68      0.00      0.00      0.00      0.00
00時51分46秒      0.00 645466.67      0.00      0.00  19489.90  19206.06      0.00  19154.55     99.73
00時51分47秒     52.53 149046.46    309.09      4.04 253008.08  38408.08      0.00  38332.32     99.80
00時51分48秒      0.00     84.00      0.00      0.00     35.00      0.00      0.00      0.00      0.00
00時51分49秒      0.00      0.00      0.00      0.00     34.00      0.00      0.00      0.00      0.00
00時51分50秒      0.00      0.00      0.00      0.00     35.35      0.00      0.00      0.00      0.00
00時51分51秒      0.00      0.00      0.00      0.00     34.00      0.00      0.00      0.00      0.00
00時51分52秒      0.00      0.00      0.00      0.00     35.00      0.00      0.00      0.00      0.00
00時51分53秒      0.00     11.88      0.00      0.00     33.66      0.00      0.00      0.00      0.00
00時51分54秒      0.00      0.00      0.00      0.00     35.00      0.00      0.00      0.00      0.00
00時51分55秒      0.00      0.00      0.00      0.00     34.34      0.00      0.00      0.00      0.00
00時51分56秒      0.00      0.00      1.00      0.00     35.00      0.00      0.00      0.00      0.00
00時51分57秒      0.00      0.00      0.00      0.00     34.00      0.00      0.00      0.00      0.00
00時51分58秒     84.85 297959.60    807.07      4.04    307.07      0.00      0.00      0.00      0.00
00時51分59秒      0.00 651463.92      0.00      0.00  46821.65  46071.13      0.00  45949.48     99.74
